"","Local","parcela","Evento","A","P","Imed","I30max","EI30","Vol","Lamina","C","qmax","qmed","Ia","PS","CSSmax","CSSmed","PSesp","CentQ","CentP","Tlw","Tw","Tb","Tlp","Tlpc","Tlc","Tr","Tc","TQC","IH","Qmid","Tempo.retorno"
"1","Cambe","PCT","04/10/2018",NA,36.1,24.0666667,"29.24891",NA,40.57956,2.028978,5.620438,48.778,4.9774559,34.071022,98.214972,3.557,"0.8530662",0.004910749,NA,NA,30,90,65,20,30,31,20,15,5,NA,NA,NA
"2","Cambe","PCT","26/10/2018",NA,9.016,0.4098182,"9.016",NA,2.7258,0.13629,1.511646,4.41,1.5263333,8.87971,6.236053,2.696,"1.9740867",0.000311803,NA,NA,10,22,28,16,5,6,16,5,0,NA,NA,NA
"3","Cambe","PCT","23/11/2018",NA,61.54,9.4676923,"14.45",NA,63.6819,3.184095,5.174025,6.79,2.5789078,58.355905,34.644616,1.82,"0.464017",0.001732231,NA,NA,150,390,398,167,14,41,167,5,162,NA,NA,NA
"4","Cambe","PCT","28/05/2019",NA,27.80693,20.3465347,"12.17822",NA,22.0677,1.103385,3.968022,22.29,5.7629817,26.703546,62.853989,6.96,"1.9737615",0.0031427,NA,NA,38,82,63,23,4,11,23,0,1,NA,NA,NA
"5","Cambe","PCT","16/12/2019",NA,24.71391,14.5375946,"10.22257",NA,18.9918,0.94959,3.84233,11.433,3.0162476,23.764321,9.394042,1.21,"0.3244762",0.000469702,NA,NA,38,102,88,28,4,5,28,0,28,NA,NA,NA
"6","Cambe","PCT","18/08/2020",NA,20.3239,16.9365854,"11.4322",NA,19.7082,0.98541,4.848528,9.74,2.8078632,19.338492,5.992568,0.819,"0.1800171",0.000299628,NA,NA,38,72,86,16,6,18,16,42,5,NA,NA,NA
"7","Cambe","PCT","19/08/2020",NA,8.496,7.2822857,"4.32",NA,5.94327,0.2971635,3.497687,3.419,0.8190537,8.198837,2.559067,3.06,"0.393595",0.000127953,NA,NA,38,70,109,55,26,29,55,48,55,NA,NA,NA
"8","Cambe","PCT","23/10/2021",NA,48.1113,1.0023188,"38.2313",NA,35.07837,1.7539185,3.645544,57.318,11.0211701,46.357384,46.322406,5.19,"0.9077835",0.00231612,NA,NA,18,48,62,9,5,7,9,28,4,NA,NA,NA
"9","Cambe","PCT","13/03/2022",NA,67.13183,1.3985798,"56.09968",NA,27.1299,1.356495,2.020643,34.61,8.7121154,65.775338,47.25137,4.372351,"0.941821",0.002362569,NA,NA,16,48,33,4,4,10,4,1,4,NA,NA,NA
"10","Cambe","PCT","24/03/2022",NA,26.28048,0.5053938,"22.43187",NA,20.4606,1.02303,3.892737,34.04,6.5353623,25.257448,122.904843,27.65,"6.2792754",0.006145242,NA,NA,18,52,40,5,6,9,5,7,-27,NA,NA,NA
"11","Cambe","PCT","12/04/2022",NA,37.30909,12.4363636,"16.58182",NA,9.8427,0.492135,1.319075,8.19,0.8043873,36.816956,31.695299,4.392106,"2.8019208",0.001584765,NA,NA,34,180,176,14,5,10,14,21,-8,NA,NA,NA
"12","Cambe","PST","04/10/2018",NA,36.1,24.0666667,"29.24891",NA,157.57302,7.878651,21.824518,99.888,18.0028801,28.221349,365.0546875,6.325,"0.9870205",0.01825273,NA,NA,30,90,75,20,30,38,20,25,3,NA,NA,NA
"13","Cambe","PST","26/10/2018",NA,9.016,0.4098182,"9.016",NA,1.9092,0.09546,1.0587844,2.56,0.7997561,8.92054,2.6518327,3.61,"1.007439",0.000132592,NA,NA,10,22,25,7,3,8,7,9,3,NA,NA,NA
"14","Cambe","PST","23/11/2018",NA,56.61,9.435,"10.54",NA,150.0681,7.503405,13.2545575,13.28,6.4495232,49.106595,73.8833291,1.43,"0.4948196",0.003694166,NA,NA,150,360,373,165,14,70,165,12,163,NA,NA,NA
"15","Cambe","PST","28/05/2019",NA,25.57426,18.2673267,"13.09158",NA,36.23037,1.8115185,7.083367,24.966,7.4420928,23.762739,182.7647472,8.32,"3.783299",0.009138237,NA,NA,30,84,68,38,25,21,38,1,21,NA,NA,NA
"16","Cambe","PST","16/12/2019",NA,31.45407,12.5816273,"10.22257",NA,18.21714,0.910857,2.8958321,9.736,1.9847712,30.543211,27.3649352,2.99,"0.7746732",0.001368247,NA,NA,70,150,131,27,-24,-19,27,0,2,NA,NA,NA
"17","Cambe","PST","18/08/2020",NA,20.3239,16.9365854,"11.4322",NA,7.837938,0.3918969,1.9282562,4.407,1.2446014,19.932006,2.5501413,1.309639,"0.2541863",0.000127507,NA,NA,38,72,72,30,22,25,30,30,21,NA,NA,NA
"18","Cambe","PST","19/08/2020",NA,8.496,7.2822857,"4.32",NA,0.83646,0.041823,0.4922669,0.725,0.1554667,8.454177,0.3719491,1.32,"0.1714444",1.85975e-05,NA,NA,38,70,31,11,29,32,11,17,11,NA,NA,NA
"19","Cambe","PST","31/01/2021",NA,37.5,1.5625,NA,NA,2.691,0.13455,0.3588,5.66,1.682037,37.36545,3.5880889,2.605142,"0.6093306",0.000179404,NA,NA,6,24,12,2,8,11,2,0,2,NA,NA,NA
"20","Cambe","PST","23/10/2021",NA,32.43217,0.6756703,"27.27739",NA,156.88869,7.8444345,24.1872002,76.874,14.5994083,24.587738,134.5231748,4.61,"0.6448056",0.006726159,NA,NA,16,48,164,17,12,21,17,127,-147,NA,NA,NA
"21","Cambe","PST","13/03/2022",NA,71.82637,61.5654571,"56.09968",NA,317.3292,15.86646,22.0900218,221.61,71.5163514,55.959907,3762.516884,16.63,"8.5564865",0.1881258,NA,NA,18,70,53,11,11,17,11,1,-38,NA,NA,NA
"22","Cambe","PST","24/03/2022",NA,33.86773,0.6513025,"29.2494",NA,129.6735,6.483675,19.1441091,106.18,34.4332468,27.384054,716.400727,13.97,"3.9112338",0.03582004,NA,NA,20,52,43,5,5,11,5,11,-38,NA,NA,NA
"23","Cambe","PST","12/04/2022",NA,38.51818,12.8393939,"16.23636",NA,59.7708,2.98854,7.7587774,22.29,4.7575,35.529642,186.1028778,4.232872,"2.7254632",0.009305144,NA,NA,32,180,179,12,6,39,12,25,-90,NA,NA,NA
"24","Cianorte","PCT","06/10/2022",20000,47.8,98.89,"43.2",NA,1.72,0.09,0.18,1.93,0.94,47.71,0.46,0.53,"0.23",0.023,21,25,23,117,117,22,3,4,21,NA,NA,NA,NA,NA
"25","Cianorte","PST","06/10/2022",20000,47.8,24.51,"51.6",NA,72.14,3.61,7.55,33.88,9.47,44.19,95.96,3.88,"1.08",4.79,21,25,23,117,117,22,3,4,21,NA,NA,NA,NA,NA
"26","DoisVizinhos","PCT","10/10/2022",19230,19.63672788,19.63672788,"29.51318865","854.2815574",1.12194225,0.058343331,0.297113303,1.561,0.527296429,19.57838455,0.633158755,0.922398158,"0.278406089",0.032925572,10,15,15,35,26,16,1,6,26,2,3,NA,NA,NA
"27","DoisVizinhos","PCT","10/10/2022",19230,9.876460768,13.16861436,"17.42904841","228.717521",0.015087,0.000784555,0.00794369,0.125725,0.017960714,9.875676213,0.002703374,0.17918567,"0.025597953",0.000140581,0,25,25,35,2,32,7,7,2,1,0,NA,NA,NA
"28","DoisVizinhos","PCT","10/10/2022",19230,27.42170284,19.35649612,"32.30183639","1267.839983",1.545552,0.080371919,0.293096017,3.6136,0.920973913,27.34133092,0.127204821,0.26852236,"0.084698113",0.006614915,10,45,45,85,20,79,34,36,20,6,5,NA,NA,NA
"29","DoisVizinhos","PCT","11/10/2022",19230,56.81869783,19.4806964,"32.30183639","2615.679954",43.53634725,2.263980616,3.984569697,26.049,5.093737302,54.55471721,2.505369978,0.400441739,"0.098031621",0.13028445,110,95,95,175,179,140,45,32,179,21,123,NA,NA,NA
"30","DoisVizinhos","PCT","13/10/2022",19230,17.20638978,9.832222729,"16.86900958","365.3152521",1.908756,0.099259282,0.576874543,3.6136,0.931545455,17.10713049,0.220726037,0.207368523,"0.076129652",0.011478213,10,45,55,70,21,72,17,20,21,16,5,NA,NA,NA
"31","DoisVizinhos","PCT","30/10/2022",19230,6.344113842,15.22587322,"12.68822768","109.6042497",0.25688625,0.013358619,0.210567144,0.6996,0.172492188,6.330755223,0.013817735,0.141942286,"0.037472117",0.000718551,6,10,10,25,15,17,7,10,15,4,2,NA,NA,NA
"32","DoisVizinhos","PCT","31/10/2022",19230,18.87373868,9.059394567,"24.1076326","595.627467",0.701175,0.036462558,0.193192028,1.0828,0.294801563,18.83727612,0.051640695,0.112734188,"0.032983266",0.002685424,10,30,20,35,27,30,10,10,27,12,0,NA,NA,NA
"33","DoisVizinhos","PCT","10/07/2023",19230,22.53201521,10.39939164,"22.53201521","613.8630818",0.979192014,0.050920022,0.225989647,0.6996,0.20595585,22.48109519,NA,NA,NA,NA,8,80,80,130,38,99,19,19,38,1,NA,NA,NA,NA
"34","DoisVizinhos","PCT","10/07/2023",19230,31.78623574,12.30434932,"24.9461597","1073.146979",12.66118319,0.658407862,2.07136154,6.694,2.428941786,31.12782788,NA,NA,NA,NA,33,60,45,90,98,54,9,20,98,40,NA,NA,NA,NA
"35","DoisVizinhos","PCT","10/07/2023",19230,21.12376426,14.08250951,"16.49665399","460.330965",5.928635436,0.308301375,1.459500167,3.203625,1.10445759,20.81546288,NA,NA,NA,NA,39,40,40,90,79,83,43,26,79,16,NA,NA,NA,NA
"36","DoisVizinhos","PCT","10/07/2023",19230,40.03456274,17.15766974,"41.04045627","2410.565023",23.58822871,1.226636958,3.063944938,20.9188,4.796539133,38.80792578,NA,NA,NA,NA,29,40,40,65,107,54,14,19,107,72,NA,NA,NA,NA
"37","DoisVizinhos","PCT","12/08/2023",19230,13.80890208,41.42670623,NA,NA,0.432361875,0.022483717,0.162820453,0.6996,0.170358929,13.78641836,NA,NA,NA,NA,8,10,10,20,17,14,4,10,17,8,NA,NA,NA,NA
"38","DoisVizinhos","PST","18/08/2022",19230,6.961589404,9.282119205,"12.1183223","106.3970224",1.44041683,0.074904671,1.075970831,1.593201163,0.545612436,6.886684733,0.178867854,0.313428042,"0.088661599",0.0093015,18,15,5,25,32,18,13,11,32,5,12,NA,NA,NA
"39","DoisVizinhos","PST","18/08/2022",19230,9.926710817,8.508609272,"11.34481236","134.7521717",2.93065315,0.15240006,1.535252337,2.292002066,0.81407032,9.774310757,0.155837119,0.090845339,"0.034352897",0.008103854,18,35,25,60,48,50,25,27,48,22,8,NA,NA,NA
"40","DoisVizinhos","PST","10/10/2022",19230,37.41435726,12.82777963,"32.30183639","8671.028868",3.767134965,0.195898854,0.523592729,4.140954617,1.016546866,37.21845841,0.185053626,0.254161742,"0.042503701",0.009623173,18,85,25,60,52,41,16,20,52,19,9,NA,NA,NA
"41","DoisVizinhos","PST","10/10/2022",19230,56.70250417,56.70250417,"29.51318865","854.2815574",3.601095905,0.187264478,0.330257861,3.513025,0.816765209,56.5152397,0.405242248,0.466492171,"0.094514496",0.02107344,18,15,15,35,66,25,10,18,66,46,7,NA,NA,NA
"42","DoisVizinhos","PST","10/10/2022",19230,9.876460768,13.16861436,"17.42904841","228.717521",0.63110175,0.032818604,0.332291137,0.7381,0.299215,9.843642164,0.028631193,0.068327941,"0.032360561",0.001488882,10,25,25,35,27,50,25,30,27,37,5,NA,NA,NA
"43","DoisVizinhos","PST","10/10/2022",19230,27.42170284,19.35649612,"32.30183639","1267.839983",5.311600472,0.276214273,1.007283445,4.9969,1.72904633,27.14548856,0.585334893,0.456085956,"0.090461935",0.030438632,15,45,45,85,40,80,35,40,40,25,6,NA,NA,NA
"44","DoisVizinhos","PST","11/10/2022",19230,8.946911519,8.258687556,"15.56994992","182.8741126",0.857497315,0.044591644,0.498402649,1.038404114,0.396989498,8.902319875,NA,NA,NA,NA,10,20,20,35,24,39,19,21,24,20,NA,NA,NA,NA
"45","DoisVizinhos","PST","11/10/2022",19230,56.81869783,19.4806964,"32.30183639","2615.679954",163.773363,8.516555538,14.98900162,72.5479,16.59771822,48.30214229,24.41277017,0.592203911,"0.110033213",1.269514829,89,95,95,175,175,146,51,35,175,41,6,NA,NA,NA
"46","DoisVizinhos","PST","13/10/2022",19230,17.20638978,9.832222729,"16.86900958","365.3152521",6.659779731,0.346322399,2.012754584,5.3292502,2.034095665,16.86006738,0.618530623,0.301759426,"0.085290675",0.032164879,16,45,55,70,42,78,23,27,42,38,10,NA,NA,NA
"47","DoisVizinhos","PST","30/10/2022",19230,6.344113842,15.22587322,"12.68822768","109.6042497",1.733322,0.090136349,1.420787074,1.979725,0.65125,6.253977493,0.099973687,0.147860078,"0.050236076",0.00519884,11,10,10,25,31,19,9,13,31,18,7,NA,NA,NA
"48","DoisVizinhos","PST","31/10/2022",19230,18.87373868,9.059394567,"24.1076326","595.627467",4.83642825,0.251504329,1.332562316,4.9969,1.5608875,18.62223435,0.348043924,0.181809807,"0.058002312",0.018099008,15,30,20,35,52,34,14,17,52,39,10,NA,NA,NA
"49","DoisVizinhos","PST","10/07/2023",19230,22.53201521,10.39939164,"22.53201521","671.9127279",1.344303,0.069906552,0.310254328,1.1479,0.462446875,22.46210866,NA,NA,NA,NA,13,80,80,130,42,104,24,27,42,6,NA,NA,NA,NA
"50","DoisVizinhos","PST","10/07/2023",19230,31.78623574,12.30434932,"24.9461597","1073.146979",19.9903185,1.039538144,3.270403429,10.4521,3.63653883,30.7466976,NA,NA,NA,NA,23,60,45,90,87,62,17,23,87,42,NA,NA,NA,NA
"51","DoisVizinhos","PST","10/07/2023",19230,21.12376426,14.08250951,"16.49665399","460.330965",6.41481525,0.333583736,1.579186987,3.0829,1.175712791,20.79018052,NA,NA,NA,NA,32,40,40,90,81,85,45,28,81,27,NA,NA,NA,NA
"52","DoisVizinhos","PST","10/07/2023",19230,40.03456274,17.15766974,"41.04045627","2410.565023",58.169448,3.024932293,7.555802003,38.3239,9.073807787,37.00963044,NA,NA,NA,NA,30,40,40,65,117,55,15,22,117,84,NA,NA,NA,NA
"53","DoisVizinhos","PST","11/08/2023",19230,5.91810089,14.20344214,"11.83620178","94.41454009",0.171758364,0.008931792,0.150923284,0.3716638,0.124898582,5.909169098,NA,NA,NA,NA,8,10,10,15,10,9,1,6,10,3,NA,NA,NA,NA
"54","DoisVizinhos","PST","11/08/2023",19230,2.630267062,7.890801186,NA,NA,0.16058826,0.008350924,0.317493371,0.2792728,0.0836134,2.621916139,NA,NA,NA,NA,5,10,10,15,11,15,5,5,11,6,NA,NA,NA,NA
"55","DoisVizinhos","PST","11/08/2023",19230,11.5074184,17.2611276,"21.0421","435.28",0.184026288,0.00956975,0.08316157,0.331525,0.09987478,11.49784865,NA,NA,NA,NA,5,15,15,20,15,10,5,-2,15,3,NA,NA,NA,NA
"56","DoisVizinhos","PST","12/08/2023",19230,13.80890208,41.42670623,NA,NA,3.073042083,0.15980458,1.157257685,6.1519,1.773196438,13.6490975,NA,NA,NA,NA,13,10,10,20,27,15,5,8,27,12,NA,NA,NA,NA
"57","Guarapuava","BoaPra","01/09/2019",11000,13.2,19.31707317,"23.6","6237.501324",0.07333833,0.006667121,0.050508492,0.065148,0.006021209,13.19333288,0.030637901,1.302347077,"0.04675556",0.002785264,61,51,15,41,33,18,2.999999999,10,11,5.999999999,0,0.919077127,0.032574,0.002992645
"58","Guarapuava","BoaPra","09/06/2020",11000,27.2,32.64,"34.4","18209.25779",0.064116457,0.005828769,0.021429297,0.101712271,0.008034644,27.19417123,0.045451858,1.508839112,"0.171168533",0.004131987,38,28,27,50.00000001,34.00000001,33,5.999999999,10,8.000000005,13,-7.999999995,1.033199377,0.050856136,0.144123071
"59","Guarapuava","BoaPra","09/06/2020",11000,18.2,11.49473684,"18","5257.394206",0.053834822,0.004894075,0.02689052,0.053222389,0.006230882,18.19510593,0.012103568,0.355515397,"0.036801301",0.001100324,90,59,36.99999999,95,23.99999999,66,29,31,9.999999991,0.009027778,7.999999995,1.335028914,0.026611194,0.00357259
"60","Guarapuava","BoaPra","10/06/2020",11000,7.6,26.82352942,"15.6","2028.332358",0.003421945,0.000311086,0.004093236,0.008862225,0.000919878,7.599688914,0.001777388,0.691458485,"0.061408415",0.000161581,27,19,7.999999995,16.99999999,6.999999991,15,7.000000002,8.000000005,2.999999999,2.999999999,-1.999999996,0.171919915,0.004431113,0.001273752
"61","Guarapuava","BoaPra","15/08/2020",11000,9.6,11.29411765,"14.4","2741.71721",0.053459993,0.004859999,0.050624993,0.029085135,0.007487394,9.595140001,0.020301086,1.814250665,"0.127057793",0.001845553,76,54,19,51,43,29,10,22,16,17,4.000000003,2.496901136,0.014542567,0.00027
"62","Guarapuava","BoaPra","15/08/2020",11000,5.4,8.100000001,"6.4","702.5418938",0.006618875,0.000601716,0.011142887,0.012978186,0.001114289,5.399398284,0.000992931,0.363088505,"0.01391921",9.03e-05,39,29,18,39.99999999,11,23.99999999,5.999999999,10,4.000000003,4.999999995,0,8.264815671,0.006489093,1.5e-05
"63","Guarapuava","BoaPra","18/08/2020",11000,13.6,6,"9.6","1901.422062",0.020005771,0.001818706,0.013372841,0.012978186,0.001745704,13.59818129,0.018604877,2.350288994,"0.137202321",0.001691352,73,67,29,136,31,22,7.000000002,5.999999999,13,83.00000001,0,12.97394435,0.006489093,0.000331982
"64","Guarapuava","BoaPra","04/12/2020",11000,17,20,"27.2","7364.703521",0.039280572,0.003570961,0.021005653,0.029085135,0.010071941,16.99642904,0.015044949,0.618322041,"0.152925486",0.001367723,39,22,21,51,25,31,10,17,13,1.000000003,5.999999999,4.340130371,0.014542567,0.008269086
