"","Local","Evento","A","P","Imed","I30max","EI30","Vol","VolBase","VolSup","Lamina","C","qmax","qmaxs","qmed","Ia","PS","CSSmax","CSSmed","PSesp","CentQ","CentP","Tlw","Tw","Tb","Tlp","Tlpc","Tlc","Tr","Tc","TQC","IH","qmid","Tempo.retorno"
"1","DoisVizinhos","08/06/2021",640100,36.4,8.241509434,37.99125683,4073.530445,1097.739698,905.3010541,192.4386444,0.300638407,0.82592969,89.06722101,NA,29.88743976,36.09936159,NA,NA,NA,NA,"280","150",25,265,325,235,245,290,NA,95,NA,NA,NA,NA
"2","DoisVizinhos","10/06/2021",640100,16.8,3.200653061,23.56342857,999.2279266,633.0862036,560.9347326,72.15147095,0.112719061,0.670809892,43.60951889,NA,24.1739785,16.69070951,NA,NA,NA,NA,"183","81",80,315,130,250,10,255,NA,NA,NA,NA,NA,NA
"3","DoisVizinhos","18/06/2021",640100,72.71,2.947791165,13.75635877,2303.732773,2473.360335,1559.613567,913.7467676,1.427506277,1.963228494,61.81754041,NA,21.71779609,71.28467579,NA,NA,NA,NA,"651","909",910,40,805,900,135,440,NA,25,NA,NA,NA,NA
"4","DoisVizinhos","15/07/2021",640100,21.99,4.798498749,18.82201835,933.5236614,316.4588666,294.0798085,22.37905811,0.034961816,0.158967062,19.12490712,NA,12.99046867,21.95815745,NA,NA,NA,NA,"180","122",120,275,185,295,40,155,NA,5,NA,NA,NA,NA
"5","DoisVizinhos","27/07/2021",640100,25.8,4.763076923,14.69039146,803.66186,513.4501186,485.9136083,27.53651026,0.043019076,0.166740603,18.3929341,NA,11.08992662,25.75698092,NA,NA,NA,NA,"337","101",100,325,175,315,105,350,NA,NA,NA,NA,NA,NA
"6","DoisVizinhos","14/09/2021",640100,50.4,8.172972973,19.34545455,1997.650703,721.0213181,558.275348,162.74597,0.254250851,0.504465975,55.08148898,NA,19.59916235,50.14574915,NA,NA,NA,NA,"276","171",170,370,340,245,90,150,NA,15,NA,NA,NA,NA
"7","DoisVizinhos","04/01/2022",640100,16.62,5.38938126,23.5857868,531.4875299,272.2004912,224.318078,47.8824132,0.074804582,0.450161985,14.70864705,7.817947051,9.91256225,16.5424543,17.01433123,0.206808817,0.055160477,0.026580739,"190","55",55,185,200,60,155,160,35,40,0,NA,NA,NA
"8","DoisVizinhos","13/01/2022",640100,17.7,11.8,19.97821782,460.9413092,237.2944816,190.0199171,47.27456455,0.073854967,0.417259702,19.8848349,12.2508349,10.07091597,17.62614503,20.49666336,0.331185462,0.063091827,0.032021033,"150","30",30,90,110,45,110,125,40,25,10,NA,NA,NA
"9","DoisVizinhos","14/01/2022",640100,34.6,2.162424916,10.64615385,377.1734351,503.0356822,406.7954825,96.24019978,0.15035182,0.434542831,45.74227796,30.60867796,16.68269145,34.44964818,66.86298424,0.54447795,0.08457887,0.104457091,"305","605",605,960,145,710,185,290,120,80.00000001,35,NA,NA,NA
"10","DoisVizinhos","23/03/2022",640100,60.82,9.731756522,39.50086957,3351.221888,1298.005358,692.4143319,605.5910263,0.946088152,1.555465388,91.81722073,71.94012073,46.66938051,59.87739011,175.797252,0.362143925,0.098624065,0.274640294,"180","130",130,375,270,150,95,115,85,75,35.00000001,NA,NA,NA
"11","DoisVizinhos","24/03/2022",640100,35.79,4.052227383,34.05896414,1670.052105,1018.059116,754.5375029,263.5216127,0.411688194,1.150138089,101.8362355,71.6352355,45.49515079,35.38298702,76.88033443,0.259069864,0.05479448,0.120106756,"135","270",270,530,120,220,115,65,19.99999999,45,0,NA,NA,NA
"12","DoisVizinhos","04/04/2022",640100,53.48,7.210882539,29.37448071,2122.429392,955.4213775,672.4775082,282.9438693,0.442030728,0.826523639,82.18285837,58.61435837,35.93602006,53.03868144,59.00913059,0.188455628,0.049819283,0.092187362,"185","160",160,445,205,185,95.00000001,120,90,110,50,NA,NA,NA
"13","DoisVizinhos","11/04/2022",640100,48.97,9.96031204,46.025878,3101.379413,1096.879086,740.0601304,356.8189558,0.557442518,1.138299069,55.71088891,28.68018891,33.06154488,48.41409168,54.97988544,0.259069864,0.047624612,0.08589265,"245","100",100,295,330,275,4.999999995,180,240,70,220,NA,NA,NA
"14","DoisVizinhos","12/04/2022",640100,37.37,7.118669131,26.51090573,1209.423614,1731.486427,1253.992237,477.4941896,0.745968114,1.996007426,72.94480322,41.46730322,38.08965696,36.62704483,59.51043403,0.070303373,0.03065453,0.092970527,"280","170",170,755,290,280,120,230,160,95,135,NA,NA,NA
"15","DoisVizinhos","13/04/2022",640100,10.49,10.49390019,14.36007394,189.6773765,431.5677339,363.3063035,68.26143044,0.106641822,1.016226764,33.21370244,16.36770244,20.7352755,10.38725836,11.44809002,0.042264829,0.025538136,0.017884846,"140","25",25,60,140,50,100,125,39.99999999,90,5.000000006,NA,NA,NA
